name,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic,Avg_life
gordon setter,14,12,32,25,32,25,False,13.0
grand basset griffon vendéen,15,12,30,20,30,20,False,13.5
great dane,10,8,54,45,54,45,False,9.0
greater swiss mountain dog,10,8,70,50,60,45,False,9.0
great pyrenees,12,10,45,35,45,35,False,11.0
greyhound,12,10,40,25,40,25,False,11.0
hamiltonstovare,14,12,25,20,25,20,False,13.0
hanoverian scenthound,14,12,25,20,25,20,False,13.0
harrier,15,12,25,20,25,20,False,13.5
havanese,16,14,5,3,5,3,False,15.0
hokkaido,15,12,30,20,30,20,False,13.5
hovawart,14,12,45,30,40,25,False,13.0
ibizan hound,15,12,25,20,25,20,False,13.5
icelandic sheepdog,16,14,20,14,20,14,False,15.0
irish red and white setter,14,12,32,25,32,25,False,13.0
irish setter,14,12,32,25,32,25,False,13.0
irish terrier,15,12,9,7,9,7,False,13.5
irish water spaniel,14,12,32,25,32,25,True,13.0
irish wolfhound,8,6,90,45,90,45,False,7.0
italian greyhound,16,14,5,3,5,3,True,15.0
jagdterrier,15,12,10,7,10,7,False,13.5
japanese akitainu,15,12,50,35,45,30,False,13.5
japanese chin,14,12,4,2,4,2,False,13.0
japanese spitz,15,12,7,5,7,5,False,13.5
japanese terrier,20,15,4,2,4,2,False,17.5
jindo,15,12,15,10,15,10,False,13.5
kai ken,15,12,20,15,20,15,False,13.5
karelian bear dog,15,12,30,20,30,20,False,13.5
keeshond,15,12,18,13,18,13,False,13.5
kerry blue terrier,14,12,17,13,17,13,True,13.0
kishu ken,15,12,30,20,30,20,False,13.5
komondor,12,10,70,50,60,45,False,11.0
kromfohrlander,14,12,6,5,6,5,False,13.0
kuvasz,14,12,50,35,45,30,False,13.0
labrador retriever,14,12,32,25,32,25,False,13.0
lagotto romagnolo,15,12,20,14,20,14,False,13.5
lakeland terrier,15,12,9,7,9,7,False,13.5
lancashire heeler,15,12,11,8,11,8,False,13.5
lapponian herder,14,12,20,15,20,15,False,13.0
leonberger,10,8,80,70,65,55,False,9.0
lhasa apso,16,14,30,20,30,20,False,15.0
löwchen,15,12,7,5,7,5,False,13.5
maltese,14,12,4,3,4,3,True,13.0
manchester terrier (standard),15,12,7,6,7,6,False,13.5
manchester terrier (toy),15,12,5,3,5,3,False,13.5
mastiff,8,6,90,50,70,45,False,7.0
miniature american shepherd,14,12,14,7,14,7,False,13.0
miniature bull terrier,15,12,14,8,14,8,False,13.5
miniature pinscher,16,14,4,2,4,2,True,15.0
miniature schnauzer,15,12,7,5,7,5,True,13.5
mountain cur,15,12,30,20,30,20,False,13.5
mudi,15,12,15,10,15,10,False,13.5
neapolitan mastiff,11,9,70,50,60,45,False,10.0
nederlandse kooikerhondje,15,12,15,10,15,10,False,13.5
newfoundland,10,8,70,45,70,45,False,9.0
norfolk terrier,15,12,6,5,6,5,False,13.5
norrbottenspets,15,12,10,8,10,8,False,13.5
norwegian buhund,14,12,16,14,16,14,False,13.0
norwegian elkhound,15,12,25,20,23,18,False,13.5
norwegian lundehund,15,12,9,7,8,6,False,13.5
norwich terrier,15,12,6,5,6,5,False,13.5
nova scotia duck tolling retriever,14,12,16,13,16,13,False,13.0
old english sheepdog,12,10,50,40,45,35,False,11.0
otterhound,10,8,45,30,45,30,False,9.0
papillon,15,12,4,3,4,3,False,13.5
parson russell terrier,14,12,8,6,8,6,False,13.0
pekingese,14,12,7,4,7,4,False,13.0
pembroke welsh corgi,15,12,13,11,13,11,False,13.5
perro de presa canario,12,10,50,40,45,35,False,11.0
peruvian inca orchid,15,12,15,9,15,9,False,13.5
petit basset griffon vendéen,14,12,16,12,16,12,False,13.0
pharaoh hound,14,12,25,20,25,20,False,13.0
plott,14,12,41,27,41,27,False,13.0
pointer,14,12,30,20,30,20,False,13.0
polish lowland sheepdog,14,12,20,15,20,15,False,13.0
pomeranian,16,12,5,2,5,2,False,14.0
poodle (miniature),16,14,7,4,7,4,False,15.0
poodle (standard),15,12,30,20,30,20,False,13.5
poodle (toy),16,14,4,3,4,3,True,15.0
porcelaine,15,12,10,8,10,8,False,13.5
portuguese podengo,14,12,10,5,10,5,False,13.0
